Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Included / Australia,Included / International,Price / International,Compare At Price / International,Status
explore-graphic-tee,Explore Graphic Tee,,My Store,Apparel & Accessories,T-Shirt,,TRUE,Size,Small,Material,Fabric,Color,White,ABCDEF,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,ABCDEFGHIJKLMNOP,,,,FALSE,,,,,,,,,,,,,,,,,kg,,,TRUE,TRUE,,,active
explore-graphic-tee,,,,,,,,,Small,,Fabric,,Grey,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Fabric,,Blue,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Fabric,,Orange,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cotton,,White,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cotton,,Grey,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cotton,,Blue,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cotton,,Orange,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cloth,,White,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cloth,,Grey,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cloth,,Blue,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Small,,Cloth,,Orange,,25000.0,shopify,deny,manual,54.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
explore-graphic-tee,,,,,,,,,Medium,,Fabric,,White,ABCDEF-2,25000.0,shopify,deny,manual,52.00,,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,
